set_code,set_name,company,cat_ref,imAge_A,image_ext,has_back_image,jurisdiction,jurisdiction_type,year,serial_number,width_inches,height_inches,value_mt,value_ex,value_vg,value_g,value_fr,value_po,variety_key,variety_notes,state_embossed,legend_embossed,notes,sort_order
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ARU,png,1,Aruba,foreign,1968,,2.75,1,2,1.5,1,0.75,,,f,Rev. # 7 - White Back - La vache qui rit (Laughing Cow),n,0,Plate #49,58300
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ARU,png,1,Aruba,foreign,1968,,2.75,1,2,1.5,1,0.75,,,g,Rev. # 8 - Silver Back - La vache qui rit (Laughing Cow),n,0,Plate #49,58400
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ARU,png,1,Aruba,foreign,1968,,2.75,1,2,1.5,1,0.75,,,h,Rev. # 9 - Star Blanc (Italian),n,0,Plate #49,58500
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ARU,png,1,Aruba,foreign,1968,,2.75,1,2,1.5,1,0.75,,,i,Rev. # 10 - Jacques Chocolate,n,0,Plate #49,58600
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ARU,png,1,Aruba,foreign,1968,,2.75,1,2,1.5,1,0.75,,,j,Rev. # 11 - Marcassou-Ardenne Salami,n,0,Plate #49,58700
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ARU,png,1,Aruba,foreign,1968,,2.75,1,2,1.5,1,0.75,,,k,Rev. # 12 - no advertising,n,0,Plate #49,58800
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,GM,png,1,Guatamala,foreign,1968,,2.75,1,2,1.5,1,0.75,,,base,Rev. # 1 - Maple Leaf (verkijgbaar bij),n,0,Plate #50,58900
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,GM,png,1,Guatamala,foreign,1968,,2.75,1,2,1.5,1,0.75,,,a,Rev. # 2 - Maple Leaf + Pepsi,n,0,Plate #50,59000
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,GM,png,1,Guatamala,foreign,1968,,2.75,1,2,1.5,1,0.75,,,b,Rev. # 3 - Maple Leaf + Pepsi + Heinz,n,0,Plate #50,59100
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,GM,png,1,Guatamala,foreign,1968,,2.75,1,2,1.5,1,0.75,,,c,Rev. # 4 - Maple Leaf ONLY,n,0,Plate #50,59200
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,GM,png,1,Guatamala,foreign,1968,,2.75,1,2,1.5,1,0.75,,,d,Rev. # 5 - Rombouts Silver Back,n,0,Plate #50,59300
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,GM,png,1,Guatamala,foreign,1968,,2.75,1,2,1.5,1,0.75,,,e,Rev. # 6 - Rombouts White Back,n,0,Plate #50,59400
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,GM,png,1,Guatamala,foreign,1968,,2.75,1,2,1.5,1,0.75,,,f,Rev. # 7 - White Back - La vache qui rit (Laughing Cow),n,0,Plate #50,59500
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,GM,png,1,Guatamala,foreign,1968,,2.75,1,2,1.5,1,0.75,,,g,Rev. # 8 - Silver Back - La vache qui rit (Laughing Cow),n,0,Plate #50,59600
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,GM,png,1,Guatamala,foreign,1968,,2.75,1,2,1.5,1,0.75,,,h,Rev. # 9 - Star Blanc (Italian),n,0,Plate #50,59700
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,GM,png,1,Guatamala,foreign,1968,,2.75,1,2,1.5,1,0.75,,,i,Rev. # 10 - Jacques Chocolate,n,0,Plate #50,59800
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,GM,png,1,Guatamala,foreign,1968,,2.75,1,2,1.5,1,0.75,,,j,Rev. # 11 - Marcassou-Ardenne Salami,n,0,Plate #50,59900
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,GM,png,1,Guatamala,foreign,1968,,2.75,1,2,1.5,1,0.75,,,k,Rev. # 12 - no advertising,n,0,Plate #50,60000
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,IT,png,1,Italy,foreign,1968,,2.75,1,2,1.5,1,0.75,,,base,Rev. # 1 - Maple Leaf (verkijgbaar bij),n,0,Plate #51,60100
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,IT,png,1,Italy,foreign,1968,,2.75,1,2,1.5,1,0.75,,,a,Rev. # 2 - Maple Leaf + Pepsi,n,0,Plate #51,60200
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,IT,png,1,Italy,foreign,1968,,2.75,1,2,1.5,1,0.75,,,b,Rev. # 3 - Maple Leaf + Pepsi + Heinz,n,0,Plate #51,60300
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,IT,png,1,Italy,foreign,1968,,2.75,1,2,1.5,1,0.75,,,c,Rev. # 4 - Maple Leaf ONLY,n,0,Plate #51,60400
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,IT,png,1,Italy,foreign,1968,,2.75,1,2,1.5,1,0.75,,,d,Rev. # 5 - Rombouts Silver Back,n,0,Plate #51,60500
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,IT,png,1,Italy,foreign,1968,,2.75,1,2,1.5,1,0.75,,,e,Rev. # 6 - Rombouts White Back,n,0,Plate #51,60600
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,IT,png,1,Italy,foreign,1968,,2.75,1,2,1.5,1,0.75,,,f,Rev. # 7 - White Back - La vache qui rit (Laughing Cow),n,0,Plate #51,60700
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,IT,png,1,Italy,foreign,1968,,2.75,1,2,1.5,1,0.75,,,g,Rev. # 8 - Silver Back - La vache qui rit (Laughing Cow),n,0,Plate #51,60800
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,IT,png,1,Italy,foreign,1968,,2.75,1,2,1.5,1,0.75,,,h,Rev. # 9 - Star Blanc (Italian),n,0,Plate #51,60900
